Title,Price in ₹,Rating(Out of 5),Total reviews,Availability
Fossil Autocross Analog Black Dial Men's Watch-BQ2551,"8,995",4.0,2,Only 3 left in stock.
Fossil Autocross Analog Black Dial Men's Watch-BQ2551,"8,995",4.4,59,In stock.
Fossil Bronson Analog Black Dial Men's Watch-FS5940,"10,995",4.5,2,Only 3 left in stock.
Fossil Stay Fashionable Watch,"14,995",4.3,295,In stock.
Fossil Analog Black Dial Men's Watch-FS5164,"5,997",4.3,"2,029",In stock.
"Fossil Gen 5 Touchscreen Men's Smartwatch with Speaker, Heart Rate, GPS, Music Storage and Smartphone Notifications","9,198",3.8,"14,491",Not Available
Fossil Analog Blue Dial Men's Watch - FS5237,"7,145",4.3,"1,328",In stock.
Fossil Chronograph White Dial Men's Watch-CH2882,"5,195",4.3,"3,149",In stock.
"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, GPS, NFC, Wellness Features and Smartphone Notifications","11,995",3.9,"11,756",In stock.
"Fossil Chronograph Men's Watch (Black Dial Black Colored Strap)""","7,145",4.1,"1,335",In stock.
Fossil Analog Blue Dial Men's Watch-FS5668,"6,646",4.7,274,In stock.
Fossil Analog Black Dial Men's Watch-FS5652,"5,697",4.4,945,In stock.
Fossil Chronograph Black Men Watch CH2885,"5,845",4.3,"1,360",In stock.
Fossil Bannon Analog Black Dial Men's Watch-BQ2494,"5,997",5.0,7,In stock.
Fossil Everett Analog Grey Dial Men's Watch-FS5799,"6,872",4.3,42,In stock.
Fossil Machine Analog Black Dial Men's Watch-FS4656,"10,795",3.9,584,In stock.
Fossil The Minimalist 3h Analog Grey Dial Men's Watch - FS5459,"10,995",4.5,550,In stock.
Fossil Grant Analog Blue Dial Men's Watch-FS5210,"5,697",4.3,908,In stock.
Fossil Analog Blue Dial Men's Watch-BQ2311,"4,977",4.2,"2,055",In stock.
Fossil Everett Analog Black Dial Men's Watch-FS5821,"7,197",4.3,11,Only 3 left in stock.
Fossil Neutra Analog White Dial Men's Watch-ME3196,"13,646",4.0,14,In stock.
Fossil Everett Analog Blue Dial Men's Watch-FS5822,"7,197",4.3,22,Only 1 left in stock.
"Fossil Gen 5 (46mm, Black) Garrett Silicone Touchscreen Men's Smartwatch with Speaker, Heart Rate, GPS, Music Storage and Smartphone Notifications Digital Dial Watch-FTW4041","9,198",3.5,640,In stock.
"Fossil Gen 6 Smartwatch with AMOLED Screen, Snapdragon 4100+ Wear Platform, Wear OS by Google, Google Assistant, SpO2, Wellness Features and Smartphone Notifications","24,995",4.0,"1,346",In stock.
Fossil Grant Analog Blue Dial Men's Watch-FS5210,"5,697",4.3,908,In stock.
Fossil Analog Blue Dial Men's Watch-BQ2311,"4,977",4.2,"2,055",In stock.
Fossil Everett Analog Green Dial Men's Watch-FS5964,"13,995",No Ratings,No Reviews,Only 5 left in stock.
Fossil Lux Luther Analog Black Dial Men's Watch-BQ2419,"7,995",4.3,14,Only 4 left in stock.
Fossil Sullivan Analog Blue Dial Men's Watch-BQ2512,"7,995",4.0,1,In stock.
Fossil Minimalist Analog Gray Dial Men's Watch-FS5944,"13,495",No Ratings,No Reviews,In stock.
Fossil Bronson Analog Cream Dial Men's Watch-FS5919,"5,697",No Ratings,No Reviews,In stock.
Fossil Brox Analog Black Dial Men's Watch-BQ2532,"8,097",3.8,37,In stock.
Fossil Rhett Analog Blue Dial Men's Watch-BQ2163,"7,197",4.5,32,In stock.
Fossil FB-01 Analog Black Dial Men's Watch-FS5836,"9,446",4.4,55,In stock.
